run,trialType,regSize,vaccEff,symptomRate,incubK,incubC,persistBloodK,persistBloodC,maxEnddate,maxCZSdate,testInterval,CZSTrim1,CZSTrim2,CZSTrim3,multiCZSrate,TTC,startPregRate,contraceptionRate,assumedRate,iter,contMean,contMedian,vaccMean,vaccMedian,power,meanDate,medianDate,ColFirst,ColPreI,CosFirst,CosPreI,EcuFirst,EcuPreI,MexFirst,MexPreI,PanFirst,PanPreI,PerFirst,PerPreI,startDate
run00025,CZStrial,50,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.056,1,1.004,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,100,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.108,1,1.056,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,150,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.116,1,1.056,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,200,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.172,1,1.1,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,250,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.236,1,1.108,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,300,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.288,1,1.116,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,350,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.332,1,1.192,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,400,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.324,1,1.168,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,450,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.384,1,1.148,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,500,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.38,1,1.188,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,550,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.54,1,1.144,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,600,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.532,1,1.172,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,650,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.576,1,1.184,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,700,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.628,1,1.188,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,750,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.58,1,1.244,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,800,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.652,1,1.244,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,850,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.732,1,1.244,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,900,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.76,1,1.232,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,950,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.788,2,1.2,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1000,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.832,2,1.184,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1050,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.9,2,1.252,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1100,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.752,1,1.332,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1150,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,1.944,2,1.244,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
